# gunzip -c exp/mono_ali_train_clean_5/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Fri Apr 14 06:34:42 CDT 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,31.8,55) frames.
At utterance end, SIL accounts for 99.8% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.2,52) frames.
Overall, nonsilence accounts for 94.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,17) frames.
Overall, SIL accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.5,102) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, AH0_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
Overall, D_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,10) frames.
Overall, T_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, IH0_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,8) frames.
Overall, EH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, HH_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,20) frames.
Overall, T_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,16) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,13) frames.
Overall, AE1_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,20) frames.
Overall, AH0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,20) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, AH0_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,8) frames.
Overall, IY0_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,19) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, AE1_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, ER0_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,21) frames.
Overall, M_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, S_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.8,26) frames.
Overall, EY1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, K_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
Overall, K_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,17) frames.
Overall, L_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,20) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.6,20) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
